Name;URI;Comments
B2Safe;;
B2Share (Invenio);;
Dataverse project;https://dataverse.org/;Dataverse is an open source web application to share, preserve, cite, explore and analyse research data
DataverseNL;;
Digital Commons;http://digitalcommons.bepress.com/;Hosted OAI-PMH compliant insitutional repository platform
Dryad (D-SPACE based);;developing with Zenodo
Dspace;http://www.dspace.org/;Open source (BSD) turnkey repository software
EPrints;http://www.eprints.org/uk/index.php/eprints-software/;Open source (GPL) software for building OAI-PMH compliant open access repositories
FAIRDOMHub;https://www.fairdomhub.org/;The FAIRDOMHub is built upon the SEEK software suite, which is an open source web platform for sharing scientific research assets, processes and outcomes
Figshare;https://figshare.com/;Commercial online digital repository adhering to the open data principle
Galaxy;https://galaxyproject.org/;Galaxy is an open, web-based platform for accessible, reproducible, and transparent computational research.
Globus;;
Haplo;http://haplo.org/;Open source platform for information applications. Haplo provides the complete stack, from database to user interface
Haplo repository;;
https://taverna.incubator.apache.org/;https://taverna.incubator.apache.org/;
IBM Spectrum Scale;https://www.ibm.com/nl-en/marketplace/scale-out-file-and-object-storage;IBM Spectrum Scale meets these challenges as a high-performance solution for managing data at scale with the distinctive ability to perform archive and analytics in place.
Invenio;https://github.com/inveniosoftware/invenio;Open source (GPL) software suite used to run online document repositories developed by CERN
iRODS;;
Islandora;http://islandora.ca/;Open source (GPL) digital repository software based on the Fedora framework and drupal
Mendeley Data;;
OSF;;
ReDBox;https://www.redboxresearchdata.com.au/;Open source RDM platform that assists researchers and institutions to plan, create and publish their research data assets
RSpace;https://www.researchspace.com/;elab journal
Samvera (Hydra);;Open source (Apache 2) repository environment based on Fedora framework and Ruby on Rails
SURF Sharekit;https://www.surf.nl/surfsharekit-de-online-opslagplaats-voor-het-hoger-onderwijs;
Yoda;;
Zenodo;https://github.com/zenodo/zenodo;Open source (GPL) sharing and preservation layer for Invenio
